Source,Target,Type,Id,Label,Weight
Microsoft Access,Microsoft Excel,Undirected,6240,,4
Microsoft Access,Создание презентационных материалов,Undirected,4605,,2
Microsoft Access,Microsoft Access,Undirected,4342,,1
Microsoft Access,Управление проектами,Undirected,3347,,4
Microsoft Access,Научно-исследовательская работа,Undirected,2618,,4
Microsoft Access,Microsoft PowerPoint,Undirected,1335,,2
Microsoft Access,Знание русского языка,Undirected,3,,2
Знание русского языка,Управление проектами,Undirected,2784,,5
Научно-исследовательская работа,Знание русского языка,Undirected,5604,,5
Знание английского языка,Знание русского языка,Undirected,3554,,3
Microsoft PowerPoint,Знание русского языка,Undirected,1237,,2
Создание презентационных материалов,Знание русского языка,Undirected,599,,5
Microsoft Excel,Знание русского языка,Undirected,169,,2
Веб-дизайн,Проведение интервью,Undirected,6438,,2
Веб-дизайн,Научно-исследовательская работа,Undirected,4885,,6
Веб-дизайн,Управление продуктом,Undirected,3461,,6
Веб-дизайн,Публичные выступления и проведение презентаций,Undirected,3427,,3
Веб-дизайн,Управление проектами,Undirected,3396,,12
Веб-дизайн,Создание презентационных материалов,Undirected,3074,,2
Веб-дизайн,Веб-дизайн,Undirected,2957,,3
Веб-дизайн,Прототипирование,Undirected,2352,,5
Веб-дизайн,Написание статей,Undirected,2286,,2
Веб-дизайн,Креативное мышление,Undirected,5,,9
Figma,Веб-дизайн,Undirected,3650,,5
Знание английского языка,Веб-дизайн,Undirected,3506,,2
Маркетинг,Веб-дизайн,Undirected,3188,,6
UI/UX Дизайн,Веб-дизайн,Undirected,2840,,17
Разработка пользовательских сценариев,Веб-дизайн,Undirected,996,,5
Аналитическое мышление,Веб-дизайн,Undirected,603,,1
Креативное мышление,Статистическая обработка данных,Undirected,6384,,8
Креативное мышление,Управление производством,Undirected,6012,,2
Креативное мышление,Системное и интегративное мышление,Undirected,5994,,10
Креативное мышление,Управление продуктом,Undirected,5233,,37
Креативное мышление,Креативное мышление,Undirected,4898,,8
Креативное мышление,Управление проектами,Undirected,4814,,97
Креативное мышление,Математический анализ,Undirected,3399,,4
Креативное мышление,Прототипирование,Undirected,2710,,9
Креативное мышление,Создание презентационных материалов,Undirected,2655,,24
Креативное мышление,Анализ продукта,Undirected,2216,,2
Креативное мышление,QA / Тестирование,Undirected,1745,,2
Креативное мышление,Публичные выступления и проведение презентаций,Undirected,250,,31
Управленческое консультирование,Креативное мышление,Undirected,6584,,9
Финансовый анализ,Креативное мышление,Undirected,5946,,2
Ведение финансовой отчетности,Креативное мышление,Undirected,5745,,1
Работа с биржами,Креативное мышление,Undirected,5645,,4
Маркетинг,Креативное мышление,Undirected,4589,,8
Составление карты пути клиента (CJM),Креативное мышление,Undirected,4499,,5
GameDev,Креативное мышление,Undirected,4450,,3
IBM SPSS Statistics,Креативное мышление,Undirected,4363,,4
Разработка пользовательских сценариев,Креативное мышление,Undirected,4357,,11
Работа с инвесторами,Креативное мышление,Undirected,4315,,1
Figma,Креативное мышление,Undirected,4016,,11
UI/UX Дизайн,Креативное мышление,Undirected,3999,,31
Проведение интервью,Креативное мышление,Undirected,3783,,21
Инициативность,Креативное мышление,Undirected,2738,,2
Визуализация данных,Креативное мышление,Undirected,2237,,2
Microsoft Excel,Креативное мышление,Undirected,2130,,18
Знание английского языка,Креативное мышление,Undirected,2063,,21
Microsoft Power BI,Креативное мышление,Undirected,1896,,4
Организация учебного процесса,Креативное мышление,Undirected,1882,,1
Обслуживание клиентов банка,Креативное мышление,Undirected,1658,,2
Фотосъемка,Креативное мышление,Undirected,1003,,2
Научно-исследовательская работа,Креативное мышление,Undirected,842,,83
Microsoft PowerPoint,Креативное мышление,Undirected,684,,16
Написание статей,Креативное мышление,Undirected,641,,8
Умение принимать решения,Креативное мышление,Undirected,428,,1
Анализ данных,Креативное мышление,Undirected,276,,18
Аналитическое мышление,Креативное мышление,Undirected,255,,41
Power Query,Управление проектами,Undirected,4859,,4
Power Query,Анализ данных,Undirected,4443,,7
Power Query,Знание английского языка,Undirected,4399,,3
Power Query,Создание презентационных материалов,Undirected,3108,,2
Power Query,Аналитическое мышление,Undirected,2539,,7
Power Query,Научно-исследовательская работа,Undirected,1973,,12
Power Query,Управленческое консультирование,Undirected,1637,,2
Power Query,Статистическая обработка данных,Undirected,536,,1
Microsoft Power BI,Power Query,Undirected,6286,,3
Power Pivot,Power Query,Undirected,5464,,2
DAX,Power Query,Undirected,1492,,3
Microsoft PowerPoint,Power Query,Undirected,619,,2
Microsoft Excel,Power Query,Undirected,73,,7
Prometheus,Аналитическое мышление,Undirected,6448,,2
Prometheus,Публичные выступления и проведение презентаций,Undirected,5890,,2
Prometheus,Научно-исследовательская работа,Undirected,1126,,2
Apache Kafka,Prometheus,Undirected,6489,,2
Управление проектами,Prometheus,Undirected,5140,,6
Grafana,Prometheus,Undirected,1063,,2
Управление продуктом,Prometheus,Undirected,501,,2
Системное и интегративное мышление,Системное и интегративное мышление,Undirected,5384,,11
Системное и интегративное мышление,Знания в области электротехники,Undirected,4922,,18
Системное и интегративное мышление,Управление проектами,Undirected,2982,,198
Системное и интегративное мышление,Знания в области социальной психологии,Undirected,2712,,2
Системное и интегративное мышление,Контроль качества,Undirected,2519,,1
Системное и интегративное мышление,Статистическая обработка данных,Undirected,1905,,5
Системное и интегративное мышление,Экономический анализ,Undirected,1778,,1
Системное и интегративное мышление,Управление рисками,Undirected,1022,,4
Написание статей,Системное и интегративное мышление,Undirected,6682,,1
Управленческое консультирование,Системное и интегративное мышление,Undirected,6679,,21
Маркетинг,Системное и интегративное мышление,Undirected,6644,,2
UI/UX Дизайн,Системное и интегративное мышление,Undirected,6238,,3
Научно-исследовательская работа,Системное и интегративное мышление,Undirected,6220,,173
Microsoft PowerPoint,Системное и интегративное мышление,Undirected,6205,,31
Публичные выступления и проведение презентаций,Системное и интегративное мышление,Undirected,5748,,79
Управление данными,Системное и интегративное мышление,Undirected,5674,,2
Разработка пользовательских сценариев,Системное и интегративное мышление,Undirected,5596,,4
Анализ данных,Системное и интегративное мышление,Undirected,5313,,37
Организация учебного процесса,Системное и интегративное мышление,Undirected,5091,,2
Создание презентационных материалов,Системное и интегративное мышление,Undirected,4866,,21
Ведение финансовой отчетности,Системное и интегративное мышление,Undirected,4715,,2
Применение метода Customer Development,Системное и интегративное мышление,Undirected,4430,,2
Финансовый анализ,Системное и интегративное мышление,Undirected,4305,,6
Математический анализ,Системное и интегративное мышление,Undirected,4228,,2
Выполнение производственного технического контроля,Системное и интегративное мышление,Undirected,4013,,1
Взаимодействие с образовательными организациями,Системное и интегративное мышление,Undirected,4012,,1
Управление производством,Системное и интегративное мышление,Undirected,3914,,2
Составление карты пути клиента (CJM),Системное и интегративное мышление,Undirected,3792,,2
Обеспечение информационной безопасности,Системное и интегративное мышление,Undirected,3264,,1
Умение принимать решения,Системное и интегративное мышление,Undirected,3243,,7
Знание английского языка,Системное и интегративное мышление,Undirected,3146,,46
Аналитическое мышление,Системное и интегративное мышление,Undirected,2442,,121
Microsoft Excel,Системное и интегративное мышление,Undirected,2179,,21
Работа с инвесторами,Системное и интегративное мышление,Undirected,2087,,1
QA / Тестирование,Системное и интегративное мышление,Undirected,1470,,2
Проведение интервью,Системное и интегративное мышление,Undirected,1408,,18
Управление продуктом,Системное и интегративное мышление,Undirected,1047,,131
Знание нормативно-правовых документов,Системное и интегративное мышление,Undirected,263,,5
Microsoft Power BI,UI/UX Дизайн,Undirected,6746,,1
Microsoft Power BI,Моделирование рисков,Undirected,6573,,9
Microsoft Power BI,Публичные выступления и проведение презентаций,Undirected,6279,,6
Microsoft Power BI,Анализ данных,Undirected,5284,,12
Microsoft Power BI,Обслуживание клиентов банка,Undirected,5207,,2
Microsoft Power BI,Оценка эффективности рекламных инструментов,Undirected,5124,,4
Microsoft Power BI,Статистическая обработка данных,Undirected,4582,,6
Microsoft Power BI,Визуализация данных,Undirected,4524,,1
Microsoft Power BI,Создание презентационных материалов,Undirected,4153,,16
Microsoft Power BI,Навыки оценки эффективности рекламных инструментов,Undirected,4077,,4
