Source,Target,Type,Id,Label,Weight
Умение мотивировать и адаптировать персонал,Поиск и привлечение новых клиентов,Undirected,5701,,1
Умение мотивировать и адаптировать персонал,Работа с конфликтами,Undirected,4754,,5
Умение мотивировать и адаптировать персонал,Подбор персонала,Undirected,3336,,1
Умение мотивировать и адаптировать персонал,Коучинг и проведение тренингов,Undirected,1898,,9
Работа в CRM-системах,Умение мотивировать и адаптировать персонал,Undirected,4555,,1
Клиентоориентированность,Умение мотивировать и адаптировать персонал,Undirected,3919,,5
Стрессоустойчивость,Разработка документации,Undirected,18,,2
Ответственность и проактивность,Стрессоустойчивость,Undirected,4811,,1
Разработка айдентики бренда,Стрессоустойчивость,Undirected,3564,,1
Составление договоров,Подбор персонала,Undirected,3884,,2
Составление договоров,Поиск и привлечение новых клиентов,Undirected,3801,,4
Составление договоров,Работа с поставщиками,Undirected,22,,1
Проведение закупок,Составление договоров,Undirected,6464,,1
Canva,Составление договоров,Undirected,3871,,1
Работа в CRM-системах,Составление договоров,Undirected,1570,,1
Взаимодействие с клиентами и заказчиками,Составление договоров,Undirected,706,,1
Работа с поставщиками,Коучинг и проведение тренингов,Undirected,4126,,1
Проведение закупок,Работа с поставщиками,Undirected,4208,,2
Клиентоориентированность,Взаимодействие с клиентами и заказчиками,Undirected,6086,,3
Клиентоориентированность,Работа с конфликтами,Undirected,5090,,5
Клиентоориентированность,Коучинг и проведение тренингов,Undirected,311,,2
Работа в CRM-системах,Клиентоориентированность,Undirected,2067,,5
Проведение закупок,Внимательность,Undirected,6585,,1
Проведение закупок,Поиск и привлечение новых клиентов,Undirected,4508,,2
Битрикс,Работа с конфликтами,Undirected,4459,,3
Коучинг и проведение тренингов,Работа с конфликтами,Undirected,4316,,2
Коучинг и проведение тренингов,Работа в CRM-системах,Undirected,6167,,3
Коучинг и проведение тренингов,Подбор персонала,Undirected,2889,,1
Коучинг и проведение тренингов,Поиск и привлечение новых клиентов,Undirected,72,,1
Взаимодействие с клиентами и заказчиками,Коучинг и проведение тренингов,Undirected,5591,,5
Поиск и привлечение новых клиентов,Взаимодействие с клиентами и заказчиками,Undirected,4974,,1
Работа в CRM-системах,Поиск и привлечение новых клиентов,Undirected,2769,,1
Подбор персонала,Поиск и привлечение новых клиентов,Undirected,794,,1
Canva,Подбор персонала,Undirected,2767,,1
Работа в CRM-системах,Подбор персонала,Undirected,2878,,1
Битрикс,Работа в CRM-системах,Undirected,1884,,4
Взаимодействие с клиентами и заказчиками,Работа в CRM-системах,Undirected,1305,,4
TIA Portal,Техническая грамотность,Undirected,4660,,9
TIA Portal,Работа с автоматизированными системами управления,Undirected,3252,,9
SIMATIC,TIA Portal,Undirected,5760,,9
Simatic WinCC,TIA Portal,Undirected,211,,18
Simatic WinCC,Работа с автоматизированными системами управления,Undirected,4602,,18
Simatic WinCC,Техническая грамотность,Undirected,2770,,18
SIMATIC,Simatic WinCC,Undirected,6511,,18
Взаимодействие с клиентами и заказчиками,Ответственность и проактивность,Undirected,756,,1
Разработка айдентики бренда,Взаимодействие с клиентами и заказчиками,Undirected,889,,1
Ответственность и проактивность,"Знание, соблюдение и обеспечение техники безопасности",Undirected,5597,,4
Ответственность и проактивность,Внимательность,Undirected,4709,,3
Разработка айдентики бренда,Ответственность и проактивность,Undirected,6092,,1
Microsoft Word,Ответственность и проактивность,Undirected,2189,,12
"Знание, соблюдение и обеспечение техники безопасности",Внимательность,Undirected,1222,,4
Работа с автоматизированными системами управления,Техническая грамотность,Undirected,2131,,9
SIMATIC,Работа с автоматизированными системами управления,Undirected,2968,,9
SIMATIC,Техническая грамотность,Undirected,6667,,9
