Source,Target,Type,Id,Label,Weight
Анализ конкурентной среды,Системный анализ,Undirected,0,,1
BPMN,SAP,Undirected,1,,9
API,Информационная грамотность,Undirected,2,,17
Microsoft Access,Знание русского языка,Undirected,3,,2
PostgreSQL,Формирование технических заданий,Undirected,4,,5
Веб-дизайн,Креативное мышление,Undirected,5,,9
Microsoft Visio,Power Query,Undirected,6,,1
Kubernetes,Prometheus,Undirected,7,,2
Продвижение продукта,Системное и интегративное мышление,Undirected,8,,30
Разработка стратегии,Управление лояльностью клиентов,Undirected,9,,9
PostgreSQL,Информационная грамотность,Undirected,10,,1
Поисковая оптимизация сайтов (SEO),Формирование технических заданий,Undirected,11,,45
Microsoft Power BI,QA / Тестирование,Undirected,13,,3
Управление брендом,Консультирование и ведение клиентов,Undirected,14,,4
Продажи,Применение метода Customer Development,Undirected,15,,7
Проведение маркетинговых исследований,Создание и дистрибуция контента,Undirected,17,,8
Стрессоустойчивость,Разработка документации,Undirected,18,,2
Лидерство и управление персоналом,Участие в профессиональных выставках,Undirected,19,,2
Анализ конкурентной среды,Ведение отчетности,Undirected,20,,9
Управление проектами,Grafana,Undirected,21,,6
Составление договоров,Работа с поставщиками,Undirected,22,,1
Анализ финансово-хозяйственной деятельности,Ведение отчетности,Undirected,23,,1
SWOT- и PEST-анализ,Анализ потребителей,Undirected,24,,3
Мобильная разработка (Android),Обучаемость и адаптивность,Undirected,26,,1
Знание английского языка,Клиентоориентированность,Undirected,27,,5
Обучаемость и адаптивность,Базовая инструментальная грамотность,Undirected,28,,17
Веб-аналитика,Информационная грамотность,Undirected,29,,5
Организация и управление бизнес-процессами,Управление брендом,Undirected,30,,6
Проведение закупок,Ведение отчетности,Undirected,31,,3
Аналитическое мышление,Проведение маркетинговых исследований,Undirected,34,,186
Научно-исследовательская работа,Анализ целевой аудитории,Undirected,36,,4
Microsoft PowerPoint,Microsoft PowerPoint,Undirected,37,,1
Навыки работы с каналами сбыта продукции,Базовые знания ПК,Undirected,38,,2
Разработка конструкторской документации,Разработка чертежей,Undirected,40,,3
API,Лидерство и управление персоналом,Undirected,42,,11
Медиалогия,Научно-исследовательская работа,Undirected,43,,2
Лидерство и управление персоналом,Страхование,Undirected,44,,1
Работа с маркетплейсами,Анализ рынка,Undirected,45,,48
Самоорганизованность,Консультирование и ведение клиентов,Undirected,46,,19
Написание статей,Настройка таргетированной рекламы,Undirected,47,,1
Создание презентационных материалов,Экономический анализ,Undirected,48,,5
Умение принимать решения,Разработка и внедрение системы KPI,Undirected,49,,3
Анализ данных,Умение принимать решения,Undirected,50,,6
Лидерство и управление персоналом,Спектроскопический анализ,Undirected,51,,4
Анализ рынка,Ведение документооборота,Undirected,52,,6
Веб-аналитика,Многозадачность,Undirected,53,,2
Логическое мышление,Работа с конфликтами,Undirected,54,,8
Разработка 1С,Многозадачность,Undirected,55,,1
Confluence,BPMN,Undirected,56,,7
Рассылка сообщений,Креативное мышление,Undirected,57,,2
Умение мотивировать и адаптировать персонал,Публичные выступления и проведение презентаций,Undirected,58,,6
Анализ рынка,Системное и интегративное мышление,Undirected,59,,35
UI/UX Дизайн,Организация и управление бизнес-процессами,Undirected,60,,6
Amplitude,Google Analytics,Undirected,61,,3
Разработка проектной документации,Разработка нормативной документации,Undirected,62,,1
IBM SPSS Statistics,Microsoft PowerPoint,Undirected,63,,12
Управленческое консультирование,Работа с инвесторами,Undirected,64,,2
Рассылка сообщений,Знание основ в области маркетинга,Undirected,65,,4
MySQL,Анализ данных,Undirected,66,,1
Работа с маркетплейсами,Поисковая оптимизация сайтов (SEO),Undirected,67,,13
Проведение интервью,Публичные выступления и проведение презентаций,Undirected,68,,6
Поисковая оптимизация сайтов (SEO),Управление ассортиментом,Undirected,69,,1
1С,Управление проектами,Undirected,70,,4
Adobe Illustrator,Информационная грамотность,Undirected,71,,2
Коучинг и проведение тренингов,Поиск и привлечение новых клиентов,Undirected,72,,1
Microsoft Excel,Power Query,Undirected,73,,7
Умение принимать решения,Разработка нормативной документации,Undirected,74,,3
Аналитическое мышление,Управление затратами,Undirected,75,,8
Microsoft PowerPoint,Знания в области электротехники,Undirected,76,,22
Microsoft Visio,Работа в команде,Undirected,77,,12
Аналитическое мышление,Купля-продажа финансовых активов,Undirected,78,,2
Чтение технической документации,Прохождение и проведение экспертиз,Undirected,79,,9
Управление ассортиментом,Анализ рынка,Undirected,80,,23
